state,state_abbr,event_title,event_start_date,event_end_date,event_type,summary,dashboard_relevance,source_name,source_url,source_type,scraped_text_excerpt,confidence,proposed_blurb,review_status,date_accessed,notes,context_priority,state_specificity,verification_status,app_candidate,approval_recommendation
Alabama,AL,ACA Medicaid expansion not adopted as of May 2026,2026-05-21,,Medicaid expansion,KFF reported that Alabama had not adopted the ACA Medicaid expansion as of May 2026.,"Non-expansion status may help contextualize adult eligibility pathways, enrollment levels, and how application and renewal activity compare with expansion states.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Alabama remained a non-expansion state as of May 2026, a structural policy difference that may help contextualize enrollment and eligibility patterns in this dashboard.",needs_review,2026-06-22,KFF May 2026 status snapshot. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Alabama,AL,12-month postpartum Medicaid coverage extension implemented,2023-01-13,,postpartum extension,"KFF reported that Alabama had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Alabama's state plan amendment on January 13, 2023.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Alabama had implemented a 12-month postpartum Medicaid coverage extension by January 13, 2023, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Alabama's state plan amendment on January 13, 2023. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Alaska,AK,ACA Medicaid expansion in effect during dashboard period,2015-09-01,,Medicaid expansion,"KFF reported that Alaska implemented the ACA Medicaid expansion on September 1, 2015; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Alaska was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Alaska,AK,12-month postpartum Medicaid coverage extension implemented,2024-02-23,,postpartum extension,"KFF reported that Alaska had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Alaska's state plan amendment on February 23, 2024.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Alaska had implemented a 12-month postpartum Medicaid coverage extension by February 23, 2024, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Alaska's state plan amendment on February 23, 2024. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Arizona,AZ,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that Arizona implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Arizona was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Arizona,AZ,Expansion trigger law in place as of May 2026,2026-05-21,,other,KFF reported that Arizona had an expansion trigger law in place as of May 2026 that requires termination of expansion if the federal funding share drops.,"Expansion trigger laws may help contextualize policy stability, financing conditions, and how future enrollment changes should be interpreted.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Arizona had an expansion-related trigger law in place as of May 2026, a policy detail that may matter when interpreting longer-run expansion stability.",needs_review,2026-06-22,KFF footnote identifies this as a termination trigger tied to federal funding. Second pass: structural background only; not a primary blurb candidate without additional state-specific support.,background_context,structural_background,verified_reputable_secondary,no,background_only
Arizona,AZ,12-month postpartum Medicaid coverage extension implemented,2023-04-06,,postpartum extension,"KFF reported that Arizona had implemented a 12-month postpartum Medicaid coverage extension as of March 19, 2026. CMS approved Arizona's state plan amendment on April 6, 2023.","Extended postpartum coverage may help contextualize postpartum retention, maternal coverage continuity, and program mix in public enrollment counts.",KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,high,"Arizona had implemented a 12-month postpartum Medicaid coverage extension by April 6, 2023, a policy context that may help explain postpartum coverage continuity in the dashboard period.",needs_review,2026-06-22,"CMS approved Arizona's state plan amendment on April 6, 2023. Second pass: retain as background; postpartum extension is useful but should not be the only blurb unless no stronger state-specific context is found.",background_context,weak_generic,verified_reputable_secondary,no,background_only
Arkansas,AR,ACA Medicaid expansion in effect during dashboard period,2014-01-01,,Medicaid expansion,"KFF reported that Arkansas implemented the ACA Medicaid expansion on January 1, 2014; because this predates 2019, it is included as structural context for the 2019-2026 dashboard period.","Expansion status may help contextualize adult enrollment levels, application volume, and state-to-state differences in program mix and coverage pathways.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,medium,"Arkansas was an ACA Medicaid expansion state during the dashboard period, a structural difference that may help contextualize enrollment and operations patterns.",needs_review,2026-06-22,Implementation predates 2019 but shapes the program structure observed during the dashboard period. Second pass: retain as structured expansion background; too generic to use as the main dashboard blurb by itself.,background_context,structural_background,verified_reputable_secondary,no,background_only
Arkansas,AR,Expansion trigger law in place as of May 2026,2026-05-21,,other,KFF reported that Arkansas had an expansion trigger law in place as of May 2026 that requires termination of expansion if the federal funding share drops.,"Expansion trigger laws may help contextualize policy stability, financing conditions, and how future enrollment changes should be interpreted.",KFF State Health Facts: Status of State Action on the Medicaid Expansion Decision,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,kff,,high,"Arkansas had an expansion-related trigger law in place as of May 2026, a policy detail that may matter when interpreting longer-run expansion stability.",needs_review,2026-06-22,KFF footnote identifies this as a termination trigger tied to federal funding. Second pass: structural background only; not a primary blurb candidate without additional state-specific support.,background_context,structural_background,verified_reputable_secondary,no,background_only
Arkansas,AR,No strong state-specific candidate identified in first pass,,,other,No strong postpartum or other additional state-specific policy candidate was confirmed for Arkansas in the first statewide tracker pass.,A second-pass review of state Medicaid agency material may be needed before adding a policy-context blurb for this state.,KFF Medicaid Postpartum Coverage Extension Tracker,https://www.kff.org/medicaid/medicaid-postpartum-coverage-extension-tracker/,kff,,low,Policy context for this state is pending further review.,needs_review,2026-06-22,"The March 19, 2026 KFF postpartum tracker payload used for this batch did not include an Arkansas row, so the state needs manual follow-up with Arkansas or CMS source material. Second pass: placeholder row; do not use in dashboard.",do_not_use_yet,weak_generic,verified_reputable_secondary,no,do_not_use_yet
